i,j,H_ij
127,41,9106000000.0
127,42,581340000.0
127,43,-9687400000.0
127,126,206740000000.0
127,127,-459820000000.0
127,128,234290000000.0
128,42,8520700000.0
128,43,564640000.0
128,44,-9085300000.0
128,127,206070000000.0
128,128,-458260000000.0
128,129,234590000000.0
129,43,7977300000.0
129,44,535980000.0
129,45,-8513300000.0
129,128,205980000000.0
129,129,-457340000000.0
129,130,234870000000.0
130,44,7423300000.0
130,45,526370000.0
130,46,-7949600000.0
130,129,204800000000.0
130,130,-455330000000.0
130,131,235160000000.0
131,45,6874700000.0
131,46,517940000.0
131,47,-7392700000.0
131,130,203360000000.0
131,131,-453060000000.0
131,132,235430000000.0
132,46,6399300000.0
132,47,478750000.0
132,48,-6878100000.0
132,131,203800000000.0
132,132,-452770000000.0
132,133,235690000000.0
133,47,5995800000.0
133,48,426010000.0
133,49,-6421800000.0
133,132,205460000000.0
133,133,-453790000000.0
133,134,235920000000.0
134,48,5656100000.0
134,49,370700000.0
134,50,-6026800000.0
134,133,207790000000.0
134,134,-455590000000.0
134,135,236120000000.0
135,49,5324000000.0
135,50,340510000.0
135,51,-5664500000.0
135,134,208580000000.0
135,135,-455870000000.0
135,136,236300000000.0
136,50,4986500000.0
136,51,328210000.0
136,52,-5314700000.0
136,135,208010000000.0
136,136,-454790000000.0
136,137,236470000000.0
137,51,4688800000.0
137,52,303160000.0
137,53,-4992000000.0
137,136,208620000000.0
137,137,-454940000000.0
137,138,236630000000.0
138,52,4447200000.0
138,53,264510000.0
138,54,-4711700000.0
138,137,210810000000.0
138,138,-456750000000.0
138,139,236770000000.0
139,53,4159400000.0
139,54,267560000.0
139,55,-4427000000.0
139,138,209020000000.0
139,139,-454520000000.0
139,140,236920000000.0
140,54,3793800000.0
140,55,304370000.0
140,56,-4098200000.0
140,139,203030000000.0
140,140,-448010000000.0
140,141,237080000000.0
141,55,3452400000.0
141,56,309030000.0
141,57,-3761500000.0
141,140,199730000000.0
141,141,-444190000000.0
141,142,237250000000.0
142,56,3188900000.0
142,57,274480000.0
142,58,-3463400000.0
142,141,201130000000.0
142,142,-445190000000.0
142,143,237400000000.0
143,57,2976200000.0
143,58,234340000.0
143,59,-3210600000.0
143,142,204010000000.0
143,143,-447720000000.0
143,144,237530000000.0
144,58,2810200000.0
144,59,193500000.0
144,60,-3003700000.0
144,143,207910000000.0
144,144,-451350000000.0
144,145,237630000000.0
145,59,2718300000.0
145,60,139170000.0
145,61,-2857400000.0
145,144,215040000000.0
145,145,-458320000000.0
145,146,237700000000.0
146,60,2668900000.0
146,61,92655000.0
146,62,-2761600000.0
146,145,222020000000.0
146,146,-465200000000.0
146,147,237750000000.0
147,61,2627400000.0
147,62,66237000.0
147,63,-2693700000.0
147,146,226200000000.0
147,147,-469310000000.0
147,148,237780000000.0
148,62,2577500000.0
148,63,57464000.0
148,64,-2634900000.0
148,147,227530000000.0
148,148,-470550000000.0
148,149,237810000000.0
149,63,2580400000.0
149,64,27134000.0
149,65,-2607500000.0
149,148,232890000000.0
149,149,-475900000000.0
149,150,237830000000.0
150,64,2566700000.0
150,65,20327000.0
150,66,-2587000000.0
150,149,234100000000.0
150,150,-477090000000.0
150,151,237840000000.0
151,65,2549900000.0
151,66,18502000.0
151,67,-2568400000.0
