i,j,"H(i, j)"
103,102,230221563625.67297
103,103,-496078611879.08875
103,104,230221563625.67297
104,18,17847223577.17002
104,19,-14746724.07791289
104,20,-17832476853.092106
104,103,230602488571.98236
104,104,-496496385358.3071
104,105,230214196356.06262
105,19,17861994706.250027
105,20,-14765029.091238206
105,21,-17847229677.158787
105,104,230595266742.35214
105,105,-496511311069.7903
105,106,230206819944.02927
106,20,17729620656.211636
106,21,58707313.00198919
106,22,-17788327969.213623
106,105,228689811467.15488
106,106,-494444030890.58203
106,107,230236270798.00186
107,21,17468807037.444534
107,22,159036529.2816685
107,23,-17627843566.726208
107,106,226100676497.07953
107,107,-491513840100.4959
107,108,230316512999.24557
108,22,17115688684.54884
108,23,254189918.02097794
108,24,-17369878602.569817
108,107,223624955626.8348
108,108,-488556018395.2772
108,109,230445495481.32376
109,23,16678902380.006813
109,24,341982131.8166304
109,25,-17020884511.823442
109,108,221278341143.76917
109,109,-485598120562.2964
109,110,230619992526.69696
110,24,16246273703.143534
110,25,382795676.971524
110,26,-16629069380.115055
110,109,220124607355.3348
110,110,-483815850531.14453
110,111,230815900092.55115
111,25,15931037529.689686
111,26,345274349.1859021
111,27,-16276311878.875591
111,110,221127032593.93674
111,111,-484326660845.6729
111,112,230992278843.17087
112,26,15698103585.846704
112,27,286489930.1028431
112,28,-15984593515.949545
112,111,222786387223.08545
112,112,-485607222349.51556
112,113,231138138024.6339
113,27,15397841544.086008
113,28,290633146.1194002
113,29,-15688474690.205408
113,112,222653670895.48874
113,113,-485026184567.28613
113,114,231286197437.50598
114,28,15048334782.538412
114,29,316736625.2224911
114,30,-15365071407.760902
114,113,221848981392.23105
114,114,-483710286661.2586
114,115,231447899078.7282
115,29,14632989588.937542
115,30,361573757.2572094
115,31,-14994563346.194752
115,114,220420368231.4054
115,115,-481681074276.0491
115,116,231633153109.5113
116,30,14224504699.210157
116,31,379954783.4462151
116,32,-14604459482.65637
116,115,219737434083.75174
116,116,-480394603306.8988
116,117,231828205041.2805
117,31,13843480811.773493
117,32,375399404.84261274
117,33,-14218880216.616108
117,116,219748585144.70154
117,117,-479831940847.3918
117,118,232020994674.30063
118,32,13487517482.273808
118,33,360854100.6946021
118,34,-13848371582.968409
118,117,220086756077.1208
